序号,文件名,虫子编号,虫子名称,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
1,00001.jpg,0,无,,,,,,
2,00004.jpg,0,无,,,,,,
3,00006.jpg,0,无,,,,,,
4,00008.jpg,7,二化螟,1984,2150,1835,1920,2134,2380
5,00008.jpg,228,二点委夜蛾,3301,827,3040,618,3563,1037
6,00009.jpg,0,无,,,,,,
7,00011.jpg,0,无,,,,,,
8,00014.jpg,0,无,,,,,,
9,00017.jpg,0,无,,,,,,
10,00019.jpg,0,无,,,,,,
11,00020.jpg,0,无,,,,,,
12,00023.jpg,0,无,,,,,,
13,00025.jpg,0,无,,,,,,
14,00026.jpg,0,无,,,,,,
15,00029.jpg,0,无,,,,,,
16,00030.jpg,0,无,,,,,,
17,00032.jpg,0,无,,,,,,
18,00035.jpg,0,无,,,,,,
19,00036.jpg,0,无,,,,,,
20,00037.jpg,0,无,,,,,,
21,00038.jpg,0,无,,,,,,
22,00039.jpg,0,无,,,,,,
23,00040.jpg,0,无,,,,,,
24,00043.jpg,222,棉铃虫,4070,314,3633,32,4507,596
25,00045.jpg,10,褐飞虱属,1779,532,1735,494,1824,571
26,00046.jpg,0,无,,,,,,
27,00048.jpg,0,无,,,,,,
28,00049.jpg,0,无,,,,,,
29,00051.jpg,9,白背飞虱,4225,380,4187,328,4264,432
30,00052.jpg,156,八点灰灯蛾,2225,188,1917,0,2534,377
31,00054.jpg,0,无,,,,,,
32,00057.jpg,0,无,,,,,,
33,00058.jpg,10,褐飞虱属,2303,802,2279,745,2328,860
34,00062.jpg,0,无,,,,,,
35,00063.jpg,156,八点灰灯蛾,4222,90,3770,0,4674,180
36,00064.jpg,156,八点灰灯蛾,2450,305,2018,65,2883,545
37,00065.jpg,0,无,,,,,,
38,00067.jpg,0,无,,,,,,
39,00068.jpg,0,无,,,,,,
40,00073.jpg,0,无,,,,,,
41,00074.jpg,0,无,,,,,,
42,00077.jpg,0,无,,,,,,
43,00081.jpg,156,八点灰灯蛾,2283,2701,1946,2331,2621,3071
44,00083.jpg,0,无,,,,,,
45,00086.jpg,0,无,,,,,,
46,00090.jpg,0,无,,,,,,
47,00094.jpg,9,白背飞虱,1421,414,1373,361,1469,467
48,00094.jpg,9,白背飞虱,4335,286,4273,244,4397,329
49,00094.jpg,10,褐飞虱属,1776,2789,1745,2738,1807,2841
50,00096.jpg,0,无,,,,,,
51,00100.jpg,0,无,,,,,,
52,00102.jpg,0,无,,,,,,
53,00105.jpg,9,白背飞虱,4337,2940,4303,2891,4372,2989
54,00105.jpg,9,白背飞虱,2072,976,2034,929,2111,1023
55,00105.jpg,41,蝼蛄,2147,3482,1911,3317,2384,3647
56,00105.jpg,156,八点灰灯蛾,2266,1700,1940,1252,2593,2148
57,00105.jpg,256,蟋蟀,1998,3449,1821,3253,2176,3645
58,00106.jpg,0,无,,,,,,
59,00107.jpg,0,无,,,,,,
